what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1354809212560
started,bundle,com.android.ide.eclipse.traceview,21.0.0.v201210310015-519525,"com.android.ide.eclipse.traceview",1354809213093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809218695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809219771
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354809221013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809226784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809227383
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1354809228995
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809229040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809246953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809247793
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809248465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809249417
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809348358
opened,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1354809348539
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1354809348559
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809351181
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809355374
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1354809355386
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1354809356754
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354809368821
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1354809401878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1354809402151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1354809402406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1354809404451
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354809469293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809472700
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1354809487546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809487554
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354809487585
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1354809487598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809490974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809491065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809504613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809506883
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354809516308
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1354809548030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809555542
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809557986
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354809564657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809566372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809622928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1354809625975
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1354809631788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1354809633234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1354809637129
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354809637501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809643622
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1354809649647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809649651
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354809649713
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1354809649731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809652992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809661024
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354809661066
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1354809674630
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354809675489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809681110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809686616
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809689589
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1354809690766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354809690774
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354809690799
