what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore.xmi,2.8.0.v20120911-0500,"org.eclipse.emf.ecore.xmi",1358090862879
started,bundle,org.eclipse.emf.edit,2.8.0.v20120917-0436,"org.eclipse.emf.edit",1358090862879
started,bundle,org.eclipse.emf.edit.ui,2.8.0.v20120917-0436,"org.eclipse.emf.edit.ui",1358090862880
started,bundle,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.adt",1358090862880
started,bundle,com.android.ide.eclipse.base,21.0.0.v201210310015-519525,"com.android.ide.eclipse.base",1358090862880
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1358090862881
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1358090862883
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1358090862883
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1358090862884
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1358090862885
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1358090862886
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1358090862886
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1358090862887
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1358090862888
os,sysinfo,,,"win32",1358090862893
arch,sysinfo,,,"x86_64",1358090862893
ws,sysinfo,,,"win32",1358090862893
locale,sysinfo,,,"no_NO",1358090862893
processors,sysinfo,,,"4",1358090862893
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1358090862893
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1358090862893
java.specification.name,sysinfo,,,"Java Platform API Specification",1358090862893
java.specification.vendor,sysinfo,,,"Oracle Corporation",1358090862893
java.specification.version,sysinfo,,,"1.7",1358090862893
java.vendor,sysinfo,,,"Oracle Corporation",1358090862893
java.version,sysinfo,,,"1.7.0_01",1358090862893
java.vm.info,sysinfo,,,"mixed mode",1358090862893
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1358090862893
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1358090862893
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1358090862893
java.vm.specification.version,sysinfo,,,"1.7",1358090862893
java.vm.vendor,sysinfo,,,"Oracle Corporation",1358090862893
java.vm.version,sysinfo,,,"21.1-b02",1358090862893
started,bundle,com.objectaid.uml.cls,1.0.4,"com.objectaid.uml.cls",1358090863810
started,bundle,org.eclipse.gef,3.7.1.v20110830-1143,"org.eclipse.gef",1358090863811
started,bundle,com.objectaid.uml.seq,1.0.4,"com.objectaid.uml.seq",1358090863892
started,bundle,org.eclipse.draw2d,3.7.1.v20110830-1143,"org.eclipse.draw2d",1358090864215
started,bundle,com.objectaid.uml.java,1.0.4,"com.objectaid.uml.java",1358090864442
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1358090865295
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1358090865514
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1358090865520
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1358090869379
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1358090869437
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1358090869438
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1358090869530
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1358090869531
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1358090869586
started,bundle,org.antlr.eclipse.ui,4.1.1,"org.antlr.eclipse.ui",1358090869588
started,bundle,org.antlr.eclipse.core,4.1.0,"org.antlr.eclipse.core",1358090869636
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1358090876129
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1358090876130
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1358090876140
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1358090876140
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1358090876198
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1358090876201
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1358090877372
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1358090877567
started,bundle,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms",1358090878792
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1358090878801
started,bundle,com.android.ide.eclipse.traceview,21.0.0.v201210310015-519525,"com.android.ide.eclipse.traceview",1358090878902
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358090880215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358090881393
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1358090889588
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1358090889639
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1358090889640
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1358090889669
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1358090889712
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358090890510
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358090891799
