what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120917-0436,"org.eclipse.emf.common.ui",1358170519889
started,bundle,org.eclipse.emf.ecore,2.8.1.v20120911-0500,"org.eclipse.emf.ecore",1358170519893
started,bundle,org.eclipse.emf.ecore.xmi,2.8.0.v20120911-0500,"org.eclipse.emf.ecore.xmi",1358170519894
started,bundle,org.eclipse.emf.edit,2.8.0.v20120917-0436,"org.eclipse.emf.edit",1358170519895
started,bundle,org.eclipse.emf.edit.ui,2.8.0.v20120917-0436,"org.eclipse.emf.edit.ui",1358170519896
started,bundle,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.adt",1358170519897
started,bundle,com.android.ide.eclipse.base,21.0.0.v201210310015-519525,"com.android.ide.eclipse.base",1358170519898
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1358170519898
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1358170519900
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1358170519901
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1358170519902
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1358170519903
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1358170519904
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1358170519948
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1358170519950
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1358170519950
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1358170519951
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1358170519952
os,sysinfo,,,"win32",1358170520094
arch,sysinfo,,,"x86_64",1358170520094
ws,sysinfo,,,"win32",1358170520094
locale,sysinfo,,,"no_NO",1358170520094
processors,sysinfo,,,"4",1358170520094
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1358170520094
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1358170520094
java.specification.name,sysinfo,,,"Java Platform API Specification",1358170520094
java.specification.vendor,sysinfo,,,"Oracle Corporation",1358170520094
java.specification.version,sysinfo,,,"1.7",1358170520094
java.vendor,sysinfo,,,"Oracle Corporation",1358170520094
java.version,sysinfo,,,"1.7.0_01",1358170520094
java.vm.info,sysinfo,,,"mixed mode",1358170520094
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1358170520094
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1358170520094
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1358170520094
java.vm.specification.version,sysinfo,,,"1.7",1358170520094
java.vm.vendor,sysinfo,,,"Oracle Corporation",1358170520094
java.vm.version,sysinfo,,,"21.1-b02",1358170520094
started,bundle,com.objectaid.uml,1.0.4,"com.objectaid.uml",1358170520157
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20110318-1700,"org.eclipse.team.svn.revision.graph",1358170520324
